Date / Time,City,State,Shape,Duration,Summary,Posted,Date of Sighting,Time of Sighting,Meridian
11/2/08 20:00,Belleville,IL,Triangle,30-45 seconds,"Large triangular UFO sighting near Belleville, IL",1/10/09,11/2/08,8:00:00,PM
11/2/08 18:50,Torrington,CT,Triangle,8min,UFO,1/10/09,11/2/08,6:50:00,PM
11/1/08 23:00,Palm Coast,FL,Triangle,6-7 mins,Slow traveling Triangle,11/21/10,11/1/08,11:00:00,PM
11/1/08 21:03,St. George,UT,Triangle,32 minutes,Triangle-shape with orange lights with small one leaving large one.,1/10/09,11/1/08,9:03:00,PM
11/1/08 19:15,Indianapolis,IN,Triangle,unsure,"U/ V shaped gray object. Smaller sphere shaped object near it, no lights or sounds on either.",1/10/09,11/1/08,7:15:00,PM
10/31/08 22:40,Hermosa Beach,CA,Triangle,10 minutes,"Two lighted objects dancing in the sky above Los Angeles on Oct. 31, 2008",1/10/09,10/31/08,10:40:00,PM
10/31/08 22:00,Watervliet/Coloma,MI,Triangle,1 hour-ish,"I was driving to a liqour store, but we were all 100% sober at the time, with a friend and her son, in my car. My friend mentioned it,",1/10/09,10/31/08,10:00:00,PM
10/31/08 20:01,Brecksville,OH,Triangle,1-2 minutes,Triangle craft in clearing at Cuyahoga Valley National Forest,1/10/09,10/31/08,8:01:00,PM
10/31/08 8:30,Franklin,TN,Triangle,Minutes,"Black triangular, round or rectangular object in broad daylight or sunset.",1/10/09,10/31/08,8:30:00,AM
10/31/08 2:30,Flemingsburg,KY,Triangle,1 minute,"triangular, flat, with orb shaped compartment in the back of the craft",1/10/09,10/31/08,2:30:00,AM
10/30/08 22:30,Pound,VA,Triangle,7 seconds,"A ""Flying Triangle"" spotted along the VA/KY border. Large, bright, silent object seen going SSW",11/21/10,10/30/08,10:30:00,PM
10/30/08 21:20,Laurel Hill,NC,Triangle,5 minutes,Three red light in triangular shape being followed by two helicopters.,10/31/08,10/30/08,9:20:00,PM
10/30/08 18:00,El Dorado Hills,CA,Triangle,5 minutes,Large Black Floating Buidling (Box),7/14/13,10/30/08,6:00:00,PM
10/30/08 8:00,College Point,NY,Triangle,less than 1 minute,"triangular object with lights at each of its corners. Very Bright, was not moving so fast, then I lost track of it.",1/10/09,10/30/08,8:00:00,AM
10/30/08 6:50,Apex/Cary,NC,Triangle,5 Minutes,Spotted: a triangular shaped object hovering slight above treeline level at the border of Apex and Cary.,1/10/09,10/30/08,6:50:00,AM
