Date / Time,City,State,Shape,Duration,Summary,Posted,Date of Sighting,Time of Sighting,Meridian,,
2/4/18 7:35,Williston,FL,Circle,2 minutes,I saw a metal stationary object to my North West at about 11 o'clock directly over the commercial flight line.I watched it for about 1,2/16/18,2/4/18,7:35:00,AM,,
1/30/18 12:00,Bryceville,FL,Circle,1.5 hours,"Two bright white orbs in the noon sky in north east Florida, observed from two different city's.",2/16/18,1/30/18,12:00:00,PM,,
1/29/18 22:00,Holdingford,MN,Circle,5-10 minutes,Orange UFO buzzed by jet,2/16/18,1/29/18,10:00:00,PM,,
1/29/18 3:00,Pella,IA,Circle,,Was a bright ball of light that just hoovering for a good few hours and as the it got darker it changed from bright to an Orange reddis,2/16/18,1/29/18,3:00:00,AM,,
1/28/18 19:20,Woodland Park,CO,Circle,30 seconds,5 objects were in a 4 corner form with one in the middle came from east and disappeared to the west no sound around 20k ft,2/16/18,1/28/18,7:20:00,PM,,
1/26/18 7:45,Temple,NH,Circle,5 seconds,"Temple, NH. In the sky straight ahead of me I saw a white circular object that I thought initially may have been a star.",2/16/18,1/26/18,7:45:00,AM,,
1/26/18 6:20,Fairbanks,AK,Circle,2 minutes,Blue glowing disk with no center giving off bright green aura like exhaust.,2/16/18,1/26/18,6:20:00,AM,,
1/25/18 17:30,East Monroe,OH,Circle,2 minutes,"Bright orange orb above my neighbors tree, moved left and 3 more orbs that were in a diagonal pattern appeared. What was it?!",2/16/18,1/25/18,5:30:00,PM,,
1/24/18 18:30,Oak Hills,CA,Circle,20 seconds,3 White Circle Lights Seen Low in the sky in High Desert of Southern CA.,2/22/18,1/24/18,6:30:00,PM,,
1/23/18 20:00,Frederick,MD,Circle,5 minutes,I noticed a bright orange color reflecting off the windows.,1/25/18,1/23/18,8:00:00,PM,,
1/23/18 2:00,North Haven,CT,Circle,20,Looked out the living room window. Seen a circle hovering over the field the to L of the house.,1/25/18,1/23/18,2:00:00,AM,,
1/22/18 20:00,Knoxville,TN,Circle,>1 hour,I noticed that there was a very bright blue colored star that I had never seen before. ((NUFORC Note: Celestial body?? PD)),1/25/18,1/22/18,8:00:00,PM,,
1/22/18 19:30,Buckhannon,WV,Circle,1 minute,"There was 2 circle shaped lights, they were very bright and hovering. Then the lights went out, we heard a loud roaring sound like a je",1/25/18,1/22/18,7:30:00,PM,,
