Date / Time,City,State,Shape,Duration,Summary,Posted,Date,Time,Meridian,Month,Day,Year
4/28/09 10:00,St. James,NY,Circle,LATE NIGHT,"A white circle, low in the Western sky appears all evening, with constant zig zagging and rainbow-colored flashes.",5/12/09,4/28/09,10:00:00,AM,4,28,2009
4/27/09 23:00,High Point,NC,Fireball,1 minute,7 bright orange glowing lights in a steady formation going NW.,8/27/09,4/27/09,11:00:00,PM,4,27,2009
4/27/09 21:10,Montreal (Canada),QC,Triangle,6 seconds,"Black ""v"" shapped ufo with approximatively 6 orange light on each side over montreal.",5/12/09,4/27/09,9:10:00,PM,4,27,2009
4/27/09 20:18,High Point,NC,Fireball,3hrs,"Multiple round, bright orange objects flew above High Point, NC",5/12/09,4/27/09,8:18:00,PM,4,27,2009
4/27/09 5:00,Rome,GA,Circle,30 minutes,Hovering object on Mt. Alto in Rome GA,5/12/09,4/27/09,5:00:00,AM,4,27,2009
4/26/09 21:30,Adrian,MI,Triangle,4 to 5 mins.,"I saw four white lights, three in a row, one slightly lower and directly under the last moving in a northeast direction at a very slow",5/12/09,4/26/09,9:30:00,PM,4,26,2009
4/26/09 17:00,New York City (Brooklyn),NY,Circle,14 seconds,"VIDEO of orb in Brooklyn, NY 4/26/09",5/12/09,4/26/09,5:00:00,PM,4,26,2009
4/25/09 23:00,Phoenix,AZ,Fireball,3-4 seconds,Fireball in Northern Phoenix Sky. ((NUFORC Note: Possible meteor?? PD)),5/12/09,4/25/09,11:00:00,PM,4,25,2009
4/25/09 22:45,Anaheim,CA,Triangle,12 seconds,"Triangular shape object with very faint, dimmed circles for gray light seen over Disneyland.",5/12/09,4/25/09,10:45:00,PM,4,25,2009
4/25/09 1:00,Batavia,OH,Triangle,1 minute,"i saw a bright light that i though was awfully bright, and low to the ground to be a normal plane. i also noticed there was no flashing",5/12/09,4/25/09,1:00:00,AM,4,25,2009
4/24/09 23:50,Brescia (Italy),,Fireball,3 minutes,was called outside to look at something...5 golden orange orbs were hovering over the mountains for aprox. 3 - 5 minutes. other witne,5/12/09,4/24/09,11:50:00,PM,4,24,2009
4/24/09 18:00,Glendale,AZ,Triangle,10 mins,silent triangle craft in North Phoenix,5/12/09,4/24/09,6:00:00,PM,4,24,2009
4/24/09 10:30,Fox River Grove,IL,Triangle,3 minutes,3 large lights in a large triangle pattern,5/12/09,4/24/09,10:30:00,AM,4,24,2009
4/24/09 2:20,Gainesville,FL,Triangle,20 sec,"odd triangle shaped craft, flying low and slow, had dim red lights.",5/12/09,4/24/09,2:20:00,AM,4,24,2009
4/23/09 23:24,Fillmore,IN,Triangle,15 seconds,Triangle craft quite large no lights.,9/30/13,4/23/09,11:24:00,PM,4,23,2009
4/23/09 21:05,Lake Charles,LA,Triangle,1-2 minutes,My family and I saw a UFO last night at our house.,5/12/09,4/23/09,9:05:00,PM,4,23,2009
4/23/09 21:00,Miami,FL,Circle,45 sec -1:00,miami us citizen witness a ufo,5/12/09,4/23/09,9:00:00,PM,4,23,2009
4/23/09 10:15,Langley (Canada),BC,Circle,30,HIghly reflective very small object took off from ground + accended to sky and beyound very quickly,5/12/09,4/23/09,10:15:00,AM,4,23,2009
4/22/09 22:45,Coopertown,TN,Triangle,20 minutes,Sighting over my house.,11/19/15,4/22/09,10:45:00,PM,4,22,2009
4/22/09 22:00,Lagrange,IN,Triangle,10 sec,Triangular fast mover,5/12/09,4/22/09,10:00:00,PM,4,22,2009
4/22/09 21:30,Downingtown,PA,Fireball,4 seconds,"buring ball, over chester county pa",5/12/09,4/22/09,9:30:00,PM,4,22,2009
4/21/09 21:40,El Cajon,CA,Triangle,2 minutes +/-,"9 squares in a flying V but moved as one structure, silent, no lights, lit by the city lights below.",5/12/09,4/21/09,9:40:00,PM,4,21,2009
4/21/09 21:25,Gaithersburg,MD,Circle,30 minutes,5 bright lights in the sky in a straight line,5/12/09,4/21/09,9:25:00,PM,4,21,2009
4/21/09 20:45,Wilmington,CA,Triangle,5mins time frame,red non blinking triangular pattern objects seen moving in fast z pattern in night sky,5/12/09,4/21/09,8:45:00,PM,4,21,2009
4/21/09 11:20,Dunedin,FL,Triangle,2 minutes,"I saw a strange black triangle with a silver circle in the middle, it flew by my house, maybe two of them.",6/9/09,4/21/09,11:20:00,AM,4,21,2009
4/21/09 4:30,Shawnee,OK,Circle,roughly 20 seconds,"This was the morning of april 21st, the ufo was circular and emitted a beam of light from the underbelly.",6/9/09,4/21/09,4:30:00,AM,4,21,2009
4/21/09 2:05,Colorado Springs,CO,Triangle,a few seconds,Triangle craft with dim lights traveling low at a high rate of speed with no sound over the Colorado Springs airport.,5/12/09,4/21/09,2:05:00,AM,4,21,2009
4/20/09 22:00,Cirencester (UK/England),,Circle,5 mins ongoing,"3 orange/red cirles in in triangle formation miles high making no sound, errie feeling",5/12/09,4/20/09,10:00:00,PM,4,20,2009
4/20/09 22:00,Arlington,TX,Circle,,"Round white, red and blue twinkling lights, object not moving for a long time. ((NUFORC Note: ""Twinkling"" star? Sirius? PD))",5/12/09,4/20/09,10:00:00,PM,4,20,2009
4/20/09 18:35,Las Cruces,NM,Fireball,10 minutes,Orange Fireball Traveling Northbound Over Las Cruces,5/12/09,4/20/09,6:35:00,PM,4,20,2009
4/20/09 6:00,Grand Prairie,TX,Circle,seconds,Orb came out of no where seem to some straight at men and then veered up and went straight moving at a tremendous speed and disappeared,5/12/09,4/20/09,6:00:00,AM,4,20,2009
4/20/09 0:00,Durham,NC,Triangle,about 5 mins,Large triangular craft seen hovering over power lines,2/14/10,4/20/09,12:00:00,AM,4,20,2009
4/19/09 21:35,Ontario,CA,Circle,2 minutes,4 orange dots im the sky,5/12/09,4/19/09,9:35:00,PM,4,19,2009
4/19/09 21:10,Porterville,CA,Circle,still,"Circle object at high altitude was moving erratically in the sky staying around the same area for over 20 minutes. Accelerating, stopp",5/12/09,4/19/09,9:10:00,PM,4,19,2009
4/19/09 21:00,Hartlepool (UK/England),,Fireball,5 min,missile departure into orbit,5/12/09,4/19/09,9:00:00,PM,4,19,2009
4/19/09 20:55,Salamanca,NY,Fireball,3 minutes,Bright orange object flying silently through the sky,5/12/09,4/19/09,8:55:00,PM,4,19,2009
4/19/09 20:45,East Derry,NH,Triangle,10-15 MINUTES,"multiple triangles with white lites in corners and one red flashing light in the middle, moving fast and erractic",5/12/09,4/19/09,8:45:00,PM,4,19,2009
4/19/09 9:35,Manhasset,NY,Triangle,5 seconds,Shimmering triangle of dim white lights change direction quickly and are gone - with no jet noise.,5/12/09,4/19/09,9:35:00,AM,4,19,2009
4/18/09 21:43,Leicester (UK/England),,Fireball,10-15 seconds,Red-Orange ball shaped light descending towards a building rooftop,5/12/09,4/18/09,9:43:00,PM,4,18,2009
4/18/09 21:00,Seminole,FL,Triangle,1 minute,2 triangles flying low in formation,5/12/09,4/18/09,9:00:00,PM,4,18,2009
4/18/09 15:23,Wichita,KS,Triangle,1-2 minutes,triangle with green lights and black outer shell over wichita.,2/14/10,4/18/09,3:23:00,PM,4,18,2009
4/18/09 0:03,Rincon,GA,Triangle,45 Seconds,Small triangular shaped object making extremely sharp turns at a great speed. ((NUFORC Note: Student report. PD)),5/12/09,4/18/09,12:03:00,AM,4,18,2009
4/17/09 23:15,Falls Church,VA,Circle,8 seconds,"At 11:15pm on April 17, 2009, four bright objects were sighted flying at a very high speed, in a strange pattern, over N. Va",5/12/09,4/17/09,11:15:00,PM,4,17,2009
