Date / Time,City,State,Shape,Duration,Summary,Posted,Date of Sighting,Time of Sighting,Meridian
10/24/17 12:15,Columbus,OH,Fireball,5 seconds,"I just got off work and was driving on Stelzer rd and it was raining, I saw a blue flash and then about 2 to 4 seconds later another B",12/4/17,10/24/17,12:15:00,PM
10/23/17 19:00,La Manche (Canada),NF,Fireball,seconds,Straking fireball and green flash light up the sky. ((NUFORC Note: Possible meteor?? PD)),11/3/17,10/23/17,7:00:00,PM
10/22/17 20:42,Artesia,NM,Fireball,2 minutes,"Stepped outside for a chore, looked up and saw a rather huge, fiery ball of something moving at a high rate of speed. At first I though",11/3/17,10/22/17,8:42:00,PM
10/22/17 18:00,Anniston,AL,Fireball,10 minutes,"Red fireball object, (drone?), slowly drifted 75 feet above our heads, hovered above, turned white & at high speed disappeared",11/3/17,10/22/17,6:00:00,PM
10/18/17 22:00,Columbia,SC,Fireball,3 seconds,"Very bright white ball of light, followed by a helicopter.",10/19/17,10/18/17,10:00:00,PM
10/18/17 19:20,Little Rock,AR,Fireball,30 seconds,Fireball type flying at am incline.,10/19/17,10/18/17,7:20:00,PM
10/18/17 19:10,Foresthill,CA,Fireball,10 seconds,"It was large white ball with flames behind it across the sky, west to east.",10/19/17,10/18/17,7:10:00,PM
10/18/17 1:00,Lake Oswego,OR,Fireball,2 minutes,"Orange ball of light with what appeared to be ""searchlight"" hovering over treeline of forest and ""searching"" the woods.",10/19/17,10/18/17,1:00:00,AM
10/17/17 21:15,Hopewell Cape (Canada),NB,Fireball,3 seconds,Neon yellow fireball with neon yellow dripping off of it. Very unnatural color for a falling star or meteorite.,10/19/17,10/17/17,9:15:00,PM
10/13/17 19:30,Knightdale,NC,Fireball,,"4 horizontal lights in the sky... stationary, then zig zag with tail, finally still again. ((anonymous report))",10/19/17,10/13/17,7:30:00,PM
10/10/17 19:30,Unionville,PA,Fireball,3 minutes,"Two fire-like objects surrounded by an aura, moving at constant speed and altitude following the same path.",10/19/17,10/10/17,7:30:00,PM
10/9/17 0:00,Meriden,CT,Fireball,5 seconds,One HUGE white fireball flying through the southern sky. ((anonymous report)),12/4/17,10/9/17,12:00:00,AM
10/9/17 5:45,Porter Ranch,CA,Fireball,3 minutes,I was driving on the 118 this morning by porter ranch object looked red like a star shape. Object moved. ((anonymous report)),10/19/17,10/9/17,5:45:00,AM
10/9/17 5:30,Anaheim,CA,Fireball,1,"On 91 freeway, we saw this orange ball of fire then it moved and it left a tail of fire. ((anonymous report))",10/19/17,10/9/17,5:30:00,AM
10/9/17 2:58,Troutdale,OR,Fireball,10 seconds,Meteor.,10/19/17,10/9/17,2:58:00,AM
10/5/17 21:00,Port Austin,MI,Fireball,2 minutes,Four different times scene Fireball objects leaving an aircraft floating looked like maybe three at a time,10/19/17,10/5/17,9:00:00,PM
9/28/17 8:30,San Diego,CA,Fireball,10 minutes,"Taking my dog out I have a great view of the Southern skies of San Diego. My wife, roommate and myself noticed 4-5 reddish fireballs in",10/5/17,9/28/17,8:30:00,AM
9/25/17 19:35,Stafford Springs,CT,Fireball,2 minutes,"My fiancé and I were driving on the main road in Stafford (rt 190 before the school and fire station, heading toward the center of town",9/28/17,9/25/17,7:35:00,PM
9/24/17 23:30,Malden,MA,Fireball,3 minutes,Orange light/Fireball seen around Boston Logan route area.,9/28/17,9/24/17,11:30:00,PM
9/23/17 23:45,Sioux City,IA,Fireball,5 minutes,EXTREMELY bright ball appeared above me in my backyard.It lit up my back yard almost like the trees and yard were on fire.It was statio,9/28/17,9/23/17,11:45:00,PM
9/23/17 23:05,San Diego,CA,Fireball,15 seconds,Red ball moving fast with white ripples coming off the object! ((NUFORC Note: Rocket launch from Vandenberg AFB. PD)),9/28/17,9/23/17,11:05:00,PM
9/23/17 22:50,San Pedro,CA,Fireball,1 minute,Brilliant white sphere in front of a glowing crescent that traveled above the LA Harbor. ((NUFORC Note: Rocket launch. PD)),9/28/17,9/23/17,10:50:00,PM
9/22/17 23:45,Carolina Beach,NC,Fireball,5 second,"Observed 1 orange/ yellow fireball shoot down the alley about 20ft from where I was sitting on Carolina Beach, NC.",9/28/17,9/22/17,11:45:00,PM
9/21/17 18:00,New York City (Bronx),NY,Fireball,35,Saw one object first looked like a star and it was still clear outside. Then turned into a fireball and looked lik the sun that’s when,10/19/17,9/21/17,6:00:00,PM
9/19/17 20:45,Monroe,OH,Fireball,3-5 seconds,"Fireball/Flaring light over Monroe, Ohio.",9/21/17,9/19/17,8:45:00,PM
9/17/17 1:00,Philipsburg,PA,Fireball,1minute,We observed a large object appear to burst into a large fireball in the night sky.,9/21/17,9/17/17,1:00:00,AM
9/17/17 0:56,Crystal City,VA,Fireball,1-2 seconds,Large Fireball Observed in the Sky close to the Pentagon,9/21/17,9/17/17,12:56:00,AM
9/16/17 22:00,Lake Stevens,WA,Fireball,5 minutes,Bright star orange /fireball that was dropping several smaller fireball objects from its center.,9/21/17,9/16/17,10:00:00,PM
9/16/17 21:15,Westover,WV,Fireball,12,A bright orange fireball seemed to vanish after a few moments in the sky.,9/21/17,9/16/17,9:15:00,PM
9/16/17 19:59,West Valley City,UT,Fireball,56,"At the redwood drive in facing east saw a light then it split to 2, thought shoot stars then bam it stopped met back with 1 st light th",9/21/17,9/16/17,7:59:00,PM
9/15/17 22:10,Milwaukee,WI,Fireball,1-2 minutes,"Orange/red ball that flickered, moved in what seemed to be a straight line due North. ((anonymous report))",9/21/17,9/15/17,10:10:00,PM
9/15/17 22:00,Wildwood,NJ,Fireball,30-60 seconds,3 UFOs at Firework show appearing as stars moving,9/21/17,9/15/17,10:00:00,PM
9/13/17 21:45,Bethel Park,PA,Fireball,1-2 minutes,This flying red/orange ball was something very out of the ordinary.,9/14/17,9/13/17,9:45:00,PM
9/10/17 22:30,New York City (Brooklyn),NY,Fireball,5 minutes,"Orange fireball, flying horizontally, stops, hovers, drops hot liquid debris 4-5 times, then flies upwards into space.",9/12/17,9/10/17,10:30:00,PM
9/4/17 22:16,Middle River,MD,Fireball,1 second,"Small object zoomed below the moon, leaving a small white poof, and then thin fire trail (for a few seconds)-not a shooting star.",9/5/17,9/4/17,10:16:00,PM
8/28/17 23:00,O'Fallon,MO,Fireball,10 minutes,We seen a bright orange fireball in the sky next to the moon. Shining a beam of light. Winghaven are disappeared in a instant.,9/5/17,8/28/17,11:00:00,PM
8/27/17 22:10,Kansas City,MO,Fireball,5 seconds,Driving along Hwy. 35 N and saw an object right above us flying in the same direction we were driving. ((NUFORC Note: Meteor? PD)),9/5/17,8/27/17,10:10:00,PM
8/26/17 17:30,Hanover Twp,PA,Fireball,45 seconds,Fierball streaking across the sky. ((anonymous report)),9/5/17,8/26/17,5:30:00,PM
8/26/17 10:31,Snellville,GA,Fireball,5 minutes,Flaming craft head towards me from the north then stalls and heads east.,9/5/17,8/26/17,10:31:00,AM
8/25/17 9:22,Norwalk,CT,Fireball,,"Walked out of house and looked up and saw a blue bright light with a glow behind it flying fast, downward motion, as if it was landing",9/5/17,8/25/17,9:22:00,AM
8/24/17 2:30,Knoxville,TN,Fireball,1 seconds,"Approx. 02:30 a.m., saw a green fireball, with a bright yellowish-center, and a white tail, falling diagonally. ((anonymous report))",9/5/17,8/24/17,2:30:00,AM
8/23/17 21:30,Hillview/Shepherdsville,KY,Fireball,3 minutes,Fireball dripping Balls of Fire.,8/24/17,8/23/17,9:30:00,PM
8/19/17 23:00,Lake Wiley,NC,Fireball,1:00,My little brother and I saw object like fireballs for about 1:00 flying over lake Wiley.,8/24/17,8/19/17,11:00:00,PM
8/17/17 21:30,West Columbia,SC,Fireball,5 minutes,One fireball seen over US1 in Lexington Co.,9/12/17,8/17/17,9:30:00,PM
8/17/17 1:00,Bethesda,MD,Fireball,5 seconds,"Circular green object, surrounded by white light and a bluish-white tail shot across the sky towards the treeline.",9/21/17,8/17/17,1:00:00,AM
8/15/17 22:33,Cape Coral,FL,Fireball,1 minute,"Saw an orange globe over NE Fort Myers sky from Cape Coral, thought it was part of the meteor shower, but it came in fast and dipp",8/17/17,8/15/17,10:33:00,PM
8/14/17 23:00,Dallas,OR,Fireball,90 seconds,"Round erratic flying obj., bright orange, moving in flickering fashion. Lg glowing ball object, moving E. ((anonymous report))",8/17/17,8/14/17,11:00:00,PM
8/11/17 22:00,Cleveland (east side of),OH,Fireball,,Looked like fireflies in the sky moving East over 50.,8/17/17,8/11/17,10:00:00,PM
8/11/17 0:10,New York,NY,Fireball,15 minutes,Multiple ufos seen within a few minutes of one another. all ufos came from the same direction.,8/17/17,8/11/17,12:10:00,AM
